PropertyNumber,Suburb,State,Postcode,Category,PropertySalePrice,from_unixtime(PropertySaleDate),NumberOfBedrooms
106646548,Footscray,Vic,3011,Apartment,180000,"2015-10-27 00:00:00",2
107590711,Footscray,Vic,3011,Apartment,370000,"2015-06-10 00:00:00",2
114277783,Footscray,Vic,3011,Apartment,185000,"2016-03-18 00:00:00",2
115858343,Footscray,Vic,3011,Studio,82000,"2015-09-28 00:00:00",0
116030167,Footscray,Vic,3011,Apartment,0,"2015-09-28 00:00:00",2
116790995,Footscray,Vic,3011,Apartment,368000,"2015-09-28 00:00:00",2
116859979,Footscray,Vic,3011,Townhouse,413000,"2015-07-14 00:00:00",2
117323743,Footscray,Vic,3011,Apartment,101000,"2016-07-13 00:00:00",1
117679879,Footscray,Vic,3011,Apartment,377500,"2016-06-24 00:00:00",2
117713335,Footscray,Vic,3011,Apartment,320000,"2015-08-14 00:00:00",1
117929899,Footscray,Vic,3011,Apartment,419000,"2015-07-14 00:00:00",2
117929915,Footscray,Vic,3011,Apartment,315000,"2015-06-17 00:00:00",1
118599275,Footscray,Vic,3011,House,880000,"2015-09-04 00:00:00",3
118930047,Footscray,Vic,3011,Apartment,250000,"2016-08-01 00:00:00",2
118968355,Footscray,Vic,3011,Apartment,208000,"2016-02-03 00:00:00",1
118981459,Footscray,Vic,3011,Apartment,250000,"2015-09-01 00:00:00",2
119031191,Footscray,Vic,3011,Apartment,357500,"2015-07-15 00:00:00",2
119118915,Footscray,Vic,3011,Apartment,380000,"2015-10-16 00:00:00",2
119203647,Footscray,Vic,3011,Unit,275000,"2015-07-03 00:00:00",2
119314895,Footscray,Vic,3011,Unit,300000,"2015-06-18 00:00:00",1
119355603,Footscray,Vic,3011,Unit,350000,"2015-10-20 00:00:00",1
119491939,Footscray,Vic,3011,House,830000,"2015-08-06 00:00:00",4
119493855,Footscray,Vic,3011,House,591500,"2015-06-05 00:00:00",2
119583139,Footscray,Vic,3011,Apartment,302000,"2015-08-18 00:00:00",2
119594575,Footscray,Vic,3011,House,630000,"2015-07-04 00:00:00",3
119596375,Footscray,Vic,3011,Apartment,298000,"2015-07-21 00:00:00",2
119604651,Footscray,Vic,3011,Apartment,121000,"2015-07-17 00:00:00",3
119616263,Footscray,Vic,3011,Apartment,392500,"2015-06-25 00:00:00",2
119663355,Footscray,Vic,3011,Townhouse,610000,"2015-06-26 00:00:00",3
119686195,Footscray,Vic,3011,Apartment,365000,"2015-08-17 00:00:00",2
119705935,Footscray,Vic,3011,Apartment,385000,"2016-04-27 00:00:00",3
119728235,Footscray,Vic,3011,Apartment,82000,"2016-07-06 00:00:00",1
119734587,Footscray,Vic,3011,Apartment,207000,"2015-06-12 00:00:00",1
119738991,Footscray,Vic,3011,Townhouse,696675,"2015-07-07 00:00:00",3
119751507,Footscray,Vic,3011,Apartment,450000,"2015-06-04 00:00:00",2
119764179,Footscray,Vic,3011,Townhouse,400000,"2015-07-06 00:00:00",2
119775519,Footscray,Vic,3011,Apartment,395000,"2015-09-01 00:00:00",1
119803311,Footscray,Vic,3011,House,951000,"2015-08-28 00:00:00",3
119812415,Footscray,Vic,3011,Unit,410000,"2015-06-13 00:00:00",2
119820439,Footscray,Vic,3011,House,540000,"2015-06-20 00:00:00",2
119825987,Footscray,Vic,3011,Duplex/Semi-detached,566000,"2015-06-20 00:00:00",2
119847365,Footscray,Vic,3011,Townhouse,500000,"2015-06-20 00:00:00",3
119849249,Footscray,Vic,3011,Other,960000,"2015-07-09 00:00:00",4
119849989,Footscray,Vic,3011,House,696000,"2015-06-09 00:00:00",3
119860317,Footscray,Vic,3011,House,638000,"2015-06-20 00:00:00",2
119860653,Footscray,Vic,3011,House,750000,"2015-06-18 00:00:00",2
119876369,Footscray,Vic,3011,Apartment,280000,"2015-09-23 00:00:00",2
119901457,Footscray,Vic,3011,Apartment,470000,"2015-07-02 00:00:00",3
119901937,Footscray,Vic,3011,Apartment,470000,"2015-06-10 00:00:00",2
119904885,Footscray,Vic,3011,Apartment,413000,"2015-06-23 00:00:00",2
119907513,Footscray,Vic,3011,House,557500,"2015-07-11 00:00:00",3
119914621,Footscray,Vic,3011,Apartment,320000,"2015-07-10 00:00:00",1
119915757,Footscray,Vic,3011,House,885000,"2015-06-27 00:00:00",4
119918933,Footscray,Vic,3011,Apartment,255000,"2016-03-17 00:00:00",2
119924109,Footscray,Vic,3011,House,790000,"2015-07-04 00:00:00",2
119928537,Footscray,Vic,3011,House,688000,"2015-07-01 00:00:00",4
119936081,Footscray,Vic,3011,Apartment,327000,"2015-07-09 00:00:00",1
119950225,Footscray,Vic,3011,House,630000,"2015-07-04 00:00:00",2
119983945,Footscray,Vic,3011,House,980000,"2015-07-18 00:00:00",4
119984505,Footscray,Vic,3011,House,793000,"2015-07-11 00:00:00",3
120007533,Footscray,Vic,3011,Apartment,351000,"2015-07-31 00:00:00",2
120013525,Footscray,Vic,3011,House,855000,"2015-07-18 00:00:00",3
120019977,Footscray,Vic,3011,Townhouse,550000,"2015-08-12 00:00:00",3
120067105,Footscray,Vic,3011,Apartment,205000,"2015-07-22 00:00:00",1
120085461,Footscray,Vic,3011,Apartment,405000,"2015-09-07 00:00:00",2
120103097,Footscray,Vic,3011,Apartment,310000,"2015-08-07 00:00:00",2
120105577,Footscray,Vic,3011,House,640000,"2015-07-31 00:00:00",3
120123665,Footscray,Vic,3011,House,1200000,"2015-07-25 00:00:00",4
120124157,Footscray,Vic,3011,House,861000,"2015-07-20 00:00:00",3
120176373,Footscray,Vic,3011,House,690651,"2015-07-30 00:00:00",2
120181137,Footscray,Vic,3011,Apartment,348000,"2015-08-01 00:00:00",2
120181893,Footscray,Vic,3011,Apartment,316000,"2015-08-04 00:00:00",2
120190229,Footscray,Vic,3011,Townhouse,555000,"2015-08-08 00:00:00",2
120193269,Footscray,Vic,3011,House,857000,"2015-08-08 00:00:00",3
120200269,Footscray,Vic,3011,Apartment,435000,"2015-07-13 00:00:00",2
120205769,Footscray,Vic,3011,House,495000,"2015-08-13 00:00:00",2
120209141,Footscray,Vic,3011,House,620000,"2015-08-08 00:00:00",2
120227769,Footscray,Vic,3011,Apartment,675000,"2015-08-08 00:00:00",3
120229861,Footscray,Vic,3011,Apartment,270000,"2015-08-08 00:00:00",2
120230329,Footscray,Vic,3011,Apartment,285000,"2016-06-27 00:00:00",2
120230825,Footscray,Vic,3011,Townhouse,722500,"2015-08-08 00:00:00",3
120246337,Footscray,Vic,3011,Other,4250000,"2015-08-18 00:00:00",0
120261149,Footscray,Vic,3011,House,680000,"2015-08-03 00:00:00",3
120269593,Footscray,Vic,3011,House,840000,"2015-08-18 00:00:00",3
120282753,Footscray,Vic,3011,House,555000,"2015-08-22 00:00:00",2
120303833,Footscray,Vic,3011,House,460000,"2015-08-13 00:00:00",2
120308765,Footscray,Vic,3011,Townhouse,380000,"2015-09-07 00:00:00",2
120312557,Footscray,Vic,3011,Flat,286000,"2016-02-25 00:00:00",2
120320949,Footscray,Vic,3011,Apartment,360000,"2015-09-16 00:00:00",2
